2026-09-18T10:38:11Z INFO Logging to /tmp/logs/update_2026-09-18T10-38-11Z.log.
2026-09-18T10:38:11Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T10:38:11Z INFO Processing 500 items (48787 already recorded).
2026-09-18T10:41:23Z INFO [59/500] 040c6f22-076e-43a2-92a7-33b665ded9aa: Sackin index -0.1349; 0.7 s; peak memory 275 MiB.
2026-09-18T10:41:24Z INFO [60/500] 040c81b9-7280-4477-89b9-341f7bfcf136: Sackin index -0.0748; 0.8 s; peak memory 275 MiB.
2026-09-18T10:41:25Z INFO [61/500] 040d11bc-7488-485c-97ab-450270cb7038: Sackin index -0.0702; 0.8 s; peak memory 275 MiB.
2026-09-18T10:41:26Z INFO [62/500] 040e2150-3b3d-4ba6-ad77-3844054e6e04: Sackin index -0.0797; 1.8 s; peak memory 275 MiB.
2026-09-18T10:41:27Z INFO [63/500] 040e7538-83e9-4ed1-8ff8-02e6197acdef: Sackin index -0.0752; 1.1 s; peak memory 275 MiB.
2026-09-18T10:41:29Z INFO [64/500] 040ea6d2-8173-4163-88b7-d20d8cbcc84b: Sackin index -0.0173; 1.5 s; peak memory 275 MiB.
2026-09-18T10:41:30Z INFO [65/500] 040f1b34-6a6f-4977-aea8-2bc8cd15672a: Sackin index -0.1349; 0.6 s; peak memory 275 MiB.
2026-09-18T10:41:30Z INFO [66/500] 040fa6db-790b-4173-8e4b-a1f6263faae8: Sackin index -0.1429; 0.8 s; peak memory 275 MiB.
2026-09-18T10:41:31Z INFO [67/500] 040fe4a2-b68d-45f1-8917-7e268e4c1bb5: Sackin index -0.0728; 1.0 s; peak memory 275 MiB.
2026-09-18T10:41:32Z INFO [68/500] 04101508-fc42-4b17-b649-57d526c63970: Sackin index -0.0896; 0.9 s; peak memory 275 MiB.
2026-09-18T10:41:33Z INFO [69/500] 04105ca6-adac-4d66-931a-71110f282c40: Sackin index -0.0457; 0.9 s; peak memory 275 MiB.
2026-09-18T10:41:34Z INFO [70/500] 0410f1c4-cc37-4061-825b-74d81cea2d47: Sackin index -0.1349; 0.6 s; peak memory 275 MiB.
2026-09-18T10:41:35Z INFO [71/500] 0410f467-a5e0-400c-a3bb-0243940981ed: Sackin index -0.0434; 1.0 s; peak memory 275 MiB.
2026-09-18T10:41:36Z INFO [72/500] 04118057-9583-45ed-aacf-e18ce7d12c24: Sackin index -0.0696; 0.9 s; peak memory 275 MiB.
2026-09-18T10:41:36Z INFO [73/500] 0411ca6e-46a7-437e-ae88-7396d02346a3: Sackin index -0.0376; 0.8 s; peak memory 275 MiB.
2026-09-18T10:41:37Z INFO [74/500] 04126e16-fcc7-4aaa-b1ac-41a7c403e0de: Sackin index -0.0376; 0.8 s; peak memory 275 MiB.
2026-09-18T10:41:38Z INFO [75/500] 0412fcd6-db78-4fe7-969a-d68057efc857: Sackin index -0.1658; 0.6 s; peak memory 275 MiB.
2026-09-18T10:41:39Z INFO [76/500] 04131a37-e764-4c41-9096-919025498ac0: Sackin index -0.0379; 0.9 s; peak memory 275 MiB.
2026-09-18T10:41:40Z INFO [77/500] 04134c04-d8df-4199-8aa4-1efc80e2c762: Sackin index -0.1383; 0.9 s; peak memory 275 MiB.
2026-09-18T10:41:40Z INFO [78/500] 04138758-e2cf-4d34-9748-57274c4cd6fd: Sackin index -0.1349; 0.8 s; peak memory 275 MiB.
2026-09-18T10:41:41Z INFO [79/500] 04148fb8-3f59-4d72-8b87-c396e73d22a2: Sackin index -0.0696; 0.8 s; peak memory 275 MiB.
2026-09-18T10:41:42Z INFO [80/500] 04160d0d-bcec-4d5f-babc-a933b221a5d9: Sackin index -0.2168; 0.4 s; peak memory 275 MiB.
2026-09-18T10:44:35Z INFO [81/500] 0416ebae-6f76-4c22-9f27-aa279d7bc605: Sackin index -0.0269; 173.8 s; peak memory 540 MiB.
2026-09-18T10:44:37Z INFO [82/500] 041719c6-30aa-4ab9-b102-29cf91da8aac: Sackin index -0.0272; 1.4 s; peak memory 540 MiB.
2026-09-18T10:44:37Z INFO [83/500] 04174954-1625-45d1-b010-2ec8458789cf: Sackin index -0.1658; 0.6 s; peak memory 540 MiB.
2026-09-18T10:44:38Z INFO [84/500] 04188e1e-e7ed-4560-ba73-1db275be94f0: Sackin index -0.0709; 0.8 s; peak memory 540 MiB.
2026-09-18T10:44:39Z INFO [85/500] 04195ac4-e252-40b5-854f-a21dbb377e5b: Sackin index -0.0709; 0.7 s; peak memory 540 MiB.
2026-09-18T10:44:40Z INFO [86/500] 04195f39-6218-47b7-a65c-73551994e009: Sackin index -0.0702; 0.8 s; peak memory 540 MiB.
2026-09-18T10:44:40Z INFO [87/500] 04199cfc-fa8e-49ef-990b-261ebcda6483: Sackin index -0.1527; 0.6 s; peak memory 540 MiB.
2026-09-18T10:44:46Z INFO [88/500] 041adc77-3c69-4946-93be-2fbcba178470: Sackin index -0.0017; 5.4 s; peak memory 540 MiB.
2026-09-18T10:44:47Z INFO [89/500] 041aeb76-9e78-4dbe-9b3d-266f8c49b617: Sackin index -0.0699; 1.6 s; peak memory 540 MiB.
2026-09-18T10:44:48Z INFO [90/500] 041bc39d-b099-449d-84aa-e6c95cc13e88: Sackin index -0.1133; 0.6 s; peak memory 540 MiB.
2026-09-18T10:44:57Z INFO [91/500] 041ca28c-8e8d-4260-8132-c921d2517200: Sackin index -0.0036; 9.2 s; peak memory 540 MiB.
2026-09-18T10:44:58Z INFO [92/500] 041d4469-901d-4870-8ecd-1f5e716ad8a7: Sackin index -0.1279; 0.6 s; peak memory 540 MiB.
2026-09-18T10:44:59Z INFO [93/500] 041e17b9-2d33-48d5-bdc0-be285616be2c: Sackin index -0.0350; 1.5 s; peak memory 540 MiB.
2026-09-18T10:45:00Z INFO [94/500] 041e1bb1-c760-4486-8f27-810ba4348264: Sackin index -0.0702; 0.8 s; peak memory 540 MiB.
2026-09-18T10:45:01Z INFO [95/500] 042061ff-5173-4a8a-9821-fac7da00f1cf: Sackin index -0.1938; 1.3 s; peak memory 540 MiB.
2026-09-18T10:45:02Z INFO [96/500] 04209800-b421-4d86-8b55-b28dc7a8c625: Sackin index -0.0728; 1.0 s; peak memory 540 MiB.
2026-09-18T10:45:07Z INFO [97/500] 0421fef9-c661-4e8f-96c2-ddc3c2176b75: Sackin index -0.0163; 4.8 s; peak memory 540 MiB.
2026-09-18T10:45:08Z INFO [98/500] 0422a7d7-58b8-4112-9d6b-fee0b754ad77: Sackin index -0.1349; 0.6 s; peak memory 540 MiB.
2026-09-18T10:45:08Z INFO [99/500] 0422cb7a-e2b6-4b8e-a82e-fb0651b405b3: Sackin index -0.0696; 0.7 s; peak memory 540 MiB.
2026-09-18T10:45:09Z INFO [100/500] 0422fd28-6a71-41c8-9639-ea421947c2fb: Sackin index -0.0728; 0.9 s; peak memory 540 MiB.
2026-09-18T10:45:09Z INFO [100/500] 0422fd28-6a71-41c8-9639-ea421947c2fb: checkpointed 48887 records.
2026-09-18T10:45:11Z INFO [101/500] 0423aa12-3088-48bb-9989-a8c937a810de: Sackin index -0.0720; 1.8 s; peak memory 540 MiB.
2026-09-18T10:45:12Z INFO [102/500] 04250308-f180-4364-ad68-1b11eca03839: Sackin index -0.1349; 0.6 s; peak memory 540 MiB.
2026-09-18T10:46:29Z INFO [103/500] 0425f056-a1a1-478a-bde5-d834f91314e4: Sackin index -0.0573; 77.3 s; peak memory 540 MiB.
