2026-09-19T18:26:23Z INFO Logging to /tmp/logs/update_2026-09-19T18-26-23Z.log.
2026-09-19T18:26:23Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-19T18:26:23Z INFO Processing 350 items (50643 already recorded).
2026-09-19T18:38:50Z INFO [62/350] 07f2f848-5262-4cee-85d0-9556db362562: Sackin index -0.0329; 7.5 s; peak memory 1076 MiB.
2026-09-19T18:38:52Z INFO [63/350] 07f30b13-1443-48db-95c7-d5510de45431: Sackin index -0.1349; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:38:53Z INFO [64/350] 07f3b583-be25-4b98-bcce-6279aac566b0: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:40:46Z INFO [65/350] 07f3f550-df6f-40fe-abea-7493f0da06d7: Sackin index -0.0007; 112.8 s; peak memory 1076 MiB.
2026-09-19T18:40:56Z INFO [66/350] 07f74c99-e6bc-4868-afa4-30226bde41d1: Sackin index -0.0227; 10.2 s; peak memory 1076 MiB.
2026-09-19T18:40:58Z INFO [67/350] 07f7d912-0a12-4fc3-8355-1e6cc7adb494: Sackin index -0.0702; 1.8 s; peak memory 1076 MiB.
2026-09-19T18:41:00Z INFO [68/350] 07fb9187-a390-46d4-87c8-077763ed1eed: Sackin index -0.1000; 1.8 s; peak memory 1076 MiB.
2026-09-19T18:41:01Z INFO [69/350] 07fbc92b-fba0-4eb8-b5cd-9bc6b961097d: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:41:03Z INFO [70/350] 07fd759d-508c-4f3d-b906-caab5c47a39c: Sackin index -0.0709; 1.7 s; peak memory 1076 MiB.
2026-09-19T18:41:04Z INFO [71/350] 07fd924a-c534-4a6a-8fea-83394ee01afe: Sackin index -0.0702; 1.7 s; peak memory 1076 MiB.
2026-09-19T18:41:06Z INFO [72/350] 07fe2dca-3376-46c3-ad79-3b4f123f6739: Sackin index -0.1194; 1.9 s; peak memory 1076 MiB.
2026-09-19T18:41:08Z INFO [73/350] 07fed5a8-9827-466a-beea-df7106de8f08: Sackin index -0.1938; 1.3 s; peak memory 1076 MiB.
2026-09-19T18:41:09Z INFO [74/350] 07fee020-4ab6-48c8-80a5-7b5c30c71c95: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:41:11Z INFO [75/350] 07fee773-c6fe-4b56-a6c4-06ecd0c627c6: Sackin index -0.0702; 1.6 s; peak memory 1076 MiB.
2026-09-19T18:41:13Z INFO [76/350] 08003c3a-1333-45fc-b7c7-b2fab1fd65af: Sackin index -0.0369; 2.4 s; peak memory 1076 MiB.
2026-09-19T18:41:15Z INFO [77/350] 08019fea-def9-446f-bbb2-b2d4867bc00c: Sackin index -0.0275; 2.1 s; peak memory 1076 MiB.
