2026-09-21T12:05:01Z INFO Logging to /tmp/logs/update_2026-09-21T12-05-01Z.log.
2026-09-21T12:05:01Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T12:05:01Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:07:38Z INFO [57/367] 0bded34a-db3f-46bf-a4f8-cf8147a4d337: Sackin index -0.1248; 0.9 s; peak memory 197 MiB.
2026-09-21T12:07:39Z INFO [58/367] 0bdee252-beff-450b-94d2-3551dcbca431: Sackin index -0.1349; 0.9 s; peak memory 197 MiB.
2026-09-21T12:07:40Z INFO [59/367] 0be04d93-44a9-46bb-b29e-9b2ff36744d9: Sackin index -0.0702; 1.3 s; peak memory 197 MiB.
2026-09-21T12:07:41Z INFO [60/367] 0be051ee-8a61-4261-9bf4-f469e11fcbe4: Sackin index -0.1349; 0.8 s; peak memory 197 MiB.
2026-09-21T12:07:41Z INFO [61/367] 0be0746d-3ed4-4bf9-95ed-6aa392c0239b: Sackin index -0.1349; 0.8 s; peak memory 197 MiB.
2026-09-21T12:07:56Z INFO [62/367] 0be08bea-389a-4daf-a90c-acc311e9a6c0: Sackin index -0.0144; 14.3 s; peak memory 197 MiB.
2026-09-21T12:08:07Z INFO [63/367] 0be0a808-d09d-466e-ac8b-3de399d48cdc: Sackin index -0.1892; 11.3 s; peak memory 197 MiB.
2026-09-21T12:08:08Z INFO [64/367] 0be1b660-0217-4bd8-9733-72807129e6a4: Sackin index -0.1349; 0.8 s; peak memory 197 MiB.
2026-09-21T12:08:11Z INFO [65/367] 0be1c9f1-a074-482b-beaf-8035fafe307e: Sackin index -0.0869; 2.8 s; peak memory 197 MiB.
2026-09-21T12:08:12Z INFO [66/367] 0be23455-a494-4d6b-89d2-4a52ca720b57: Sackin index -0.0728; 1.3 s; peak memory 197 MiB.
2026-09-21T12:08:13Z INFO [67/367] 0be3f5f4-5629-4dd4-acea-aceb0a8d31a3: Sackin index -0.1349; 1.0 s; peak memory 197 MiB.
2026-09-21T12:08:14Z INFO [68/367] 0be52d2b-6db6-49c9-a7d4-ca06b5726a91: Sackin index -0.0696; 1.2 s; peak memory 197 MiB.
2026-09-21T12:08:15Z INFO [69/367] 0be595e1-acb1-433d-b50b-e860c8f70be9: Sackin index -0.0275; 1.1 s; peak memory 197 MiB.
2026-09-21T12:08:17Z INFO [70/367] 0be5dc3b-eae7-406c-ad48-3f09389267ff: Sackin index -0.0660; 2.1 s; peak memory 197 MiB.
2026-09-21T12:08:18Z INFO [71/367] 0be60064-ba6c-4a9f-95a8-0b1e1f7a3ce9: Sackin index -0.1349; 0.8 s; peak memory 197 MiB.
2026-09-21T12:08:28Z INFO [72/367] 0be719c1-00c0-4756-823b-08f15b40391b: Sackin index -0.0144; 9.8 s; peak memory 197 MiB.
2026-09-21T12:08:29Z INFO [73/367] 0be93f18-8608-4df2-a594-97c67759ffff: Sackin index -0.0380; 1.1 s; peak memory 197 MiB.
2026-09-21T12:08:30Z INFO [74/367] 0be940c2-8c26-47da-9947-889855e1918d: Sackin index -0.0702; 1.0 s; peak memory 197 MiB.
2026-09-21T12:08:31Z INFO [75/367] 0be95fc6-b2f9-446b-87ee-2a47175b127c: Sackin index -0.1273; 1.0 s; peak memory 197 MiB.
2026-09-21T12:08:32Z INFO [76/367] 0be999a5-81a1-45cb-83d3-198b6a32ab60: Sackin index -0.1484; 0.7 s; peak memory 197 MiB.
