2026-09-20T22:12:59Z INFO Logging to /tmp/logs/update_2026-09-20T22-12-59Z.log.
2026-09-20T22:12:59Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-20T22:12:59Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:15:08Z INFO [50/369] 0b144ccd-9078-4bae-abb8-c58784bffaca: checkpointed 52180 records.
2026-09-20T22:15:08Z INFO [51/369] 0b14a359-d461-4b79-a076-04fda88e2892: Sackin index -0.0696; 0.8 s; peak memory 162 MiB.
2026-09-20T22:15:09Z INFO [52/369] 0b153acc-e280-4929-9436-20d76beff624: Sackin index -0.0386; 1.0 s; peak memory 162 MiB.
2026-09-20T22:15:22Z INFO [53/369] 0b153bdd-926e-41ee-b193-9621feefcea2: Sackin index -0.1367; 12.4 s; peak memory 162 MiB.
2026-09-20T22:15:23Z INFO [54/369] 0b168f2a-3ba4-4292-99d2-e4ea750ee6bb: Sackin index -0.0709; 1.1 s; peak memory 162 MiB.
2026-09-20T22:15:24Z INFO [55/369] 0b170191-8357-4511-bb30-96428a1f3717: Sackin index -0.1349; 0.9 s; peak memory 162 MiB.
2026-09-20T22:15:39Z INFO [56/369] 0b1737ed-bdd4-48d0-b0df-5daf258a171b: Sackin index -0.0145; 15.1 s; peak memory 162 MiB.
2026-09-20T22:15:40Z INFO [57/369] 0b1751d9-c838-45e0-bcd7-00b485df86cb: Sackin index -0.0702; 1.1 s; peak memory 162 MiB.
2026-09-20T22:15:45Z INFO [58/369] 0b17d3eb-7c09-4746-8039-460fd8899511: Sackin index -0.0251; 4.9 s; peak memory 162 MiB.
2026-09-20T22:15:49Z INFO [59/369] 0b1915eb-ea6c-4bc7-8110-b235ad1ac4c3: Sackin index -0.0202; 3.9 s; peak memory 162 MiB.
2026-09-20T22:15:54Z INFO [60/369] 0b1918db-80bd-4295-ae37-1b07e7f952e2: Sackin index -0.0153; 5.7 s; peak memory 162 MiB.
2026-09-20T22:15:55Z INFO [61/369] 0b195e2a-f0a1-4078-b28c-4f38c40081a1: Sackin index -0.1349; 0.9 s; peak memory 162 MiB.
2026-09-20T22:15:57Z INFO [62/369] 0b19f873-f537-4388-87bf-ee8622c0e4b5: Sackin index -0.0376; 1.2 s; peak memory 162 MiB.
2026-09-20T22:15:58Z INFO [63/369] 0b1a420d-17c3-410d-aba1-89fd9d46f36a: Sackin index -0.0263; 1.7 s; peak memory 162 MiB.
2026-09-20T22:15:59Z INFO [64/369] 0b1a66b8-0bd0-4d95-b240-21c6d3d6500c: Sackin index -0.0709; 0.9 s; peak memory 162 MiB.
2026-09-20T22:16:00Z INFO [65/369] 0b1b8f06-b25e-4206-b69e-11f241e40fca: Sackin index -0.1633; 0.8 s; peak memory 162 MiB.
2026-09-20T22:16:01Z INFO [66/369] 0b1caea8-ffb5-4062-816f-307577a45c63: Sackin index -0.1349; 0.8 s; peak memory 162 MiB.
2026-09-20T22:16:05Z INFO [67/369] 0b1d9622-7cd1-4ad0-ac68-c080c27b14e5: Sackin index -0.0635; 4.2 s; peak memory 163 MiB.
2026-09-20T22:16:06Z INFO [68/369] 0b1d98f8-70d5-436c-8a66-aa64ad11ee1d: Sackin index -0.1658; 0.6 s; peak memory 163 MiB.
2026-09-20T22:16:06Z INFO [69/369] 0b1f5481-f006-400d-9671-8594365359b8: Sackin index -0.2168; 0.5 s; peak memory 163 MiB.
2026-09-20T22:16:12Z INFO [70/369] 0b1fff1c-d192-4be1-b10b-6d4a4eb1dfd6: Sackin index -0.0315; 5.8 s; peak memory 163 MiB.
2026-09-20T22:16:13Z INFO [71/369] 0b207236-a71f-4baf-b90e-d4c31160d487: Sackin index -0.0745; 0.9 s; peak memory 163 MiB.
2026-09-20T22:16:14Z INFO [72/369] 0b20bc75-27be-46b6-bf35-3f4b37f35f31: Sackin index -0.0275; 1.4 s; peak memory 163 MiB.
2026-09-20T22:16:15Z INFO [73/369] 0b21c438-12d7-43f8-8222-5c9ca072db27: Sackin index -0.0696; 0.9 s; peak memory 163 MiB.
