2026-09-18T22:20:10Z INFO Logging to /tmp/logs/update_2026-09-18T22-20-10Z.log.
2026-09-18T22:20:10Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T22:20:10Z INFO Processing 368 items (49901 already recorded).
2026-09-18T22:37:26Z INFO [123/368] 068dc429-acd4-4c92-8c2b-c27fe3189b83: Sackin index -0.0403; 5.8 s; peak memory 1083 MiB.
2026-09-18T22:37:28Z INFO [124/368] 068e4a07-d6fb-42c2-a25a-06d488c926a5: Sackin index -0.0369; 1.7 s; peak memory 1083 MiB.
2026-09-18T22:37:42Z INFO [125/368] 068e68ea-e5a3-4e6f-8b0c-c4f16a87bc5c: Sackin index -0.0163; 14.4 s; peak memory 1083 MiB.
2026-09-18T22:37:45Z INFO [126/368] 068f7c23-e2cb-4a7e-92ea-2f9664da5f66: Sackin index -0.0644; 3.1 s; peak memory 1083 MiB.
2026-09-18T22:37:52Z INFO [127/368] 06901957-e0d6-4878-9777-c6548606507a: Sackin index -0.0435; 6.3 s; peak memory 1083 MiB.
2026-09-18T22:37:53Z INFO [128/368] 069032c7-9400-4a34-bed7-00b5b703e412: Sackin index -0.1349; 1.1 s; peak memory 1083 MiB.
2026-09-18T22:37:54Z INFO [129/368] 06903dde-6011-402f-91e0-3c09f75d822e: Sackin index -0.0728; 1.7 s; peak memory 1083 MiB.
2026-09-18T22:37:56Z INFO [130/368] 06907ff5-f13f-47d8-983c-1b4ad19e7d20: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:37:58Z INFO [131/368] 0690d756-6b17-4950-8aec-5ad3f576a8f5: Sackin index -0.0276; 1.9 s; peak memory 1083 MiB.
2026-09-18T22:37:59Z INFO [132/368] 06917472-079d-4450-aff0-3be17d684a7c: Sackin index -0.1716; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:38:00Z INFO [133/368] 06934eb7-ba6e-4cd3-9ed8-c58d4f839b0d: Sackin index -0.0728; 1.6 s; peak memory 1083 MiB.
2026-09-18T22:38:02Z INFO [134/368] 0693fb77-1a5e-4d76-9007-c6bdc597d8cd: Sackin index -0.0702; 1.5 s; peak memory 1083 MiB.
2026-09-18T22:38:03Z INFO [135/368] 06945228-6d8d-4dd2-a4fb-2f0b4909a370: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:38:05Z INFO [136/368] 0694ea10-f91f-4812-8dfb-b07ac270fc98: Sackin index -0.0376; 1.8 s; peak memory 1083 MiB.
2026-09-18T22:38:07Z INFO [137/368] 06951bd4-070e-410a-988f-4be2c7799d7a: Sackin index -0.0369; 2.0 s; peak memory 1083 MiB.
2026-09-18T22:38:10Z INFO [138/368] 0695bf89-7f3e-4641-aec3-4890e462aaf1: Sackin index -0.0660; 3.5 s; peak memory 1083 MiB.
2026-09-18T22:38:12Z INFO [139/368] 0696455a-cfe2-4312-a3d6-b028ff5ea3eb: Sackin index -0.1273; 1.5 s; peak memory 1083 MiB.
2026-09-18T22:38:25Z INFO [140/368] 069661eb-7824-4010-bbe1-cb3bf218ac4a: Sackin index -0.0172; 13.1 s; peak memory 1083 MiB.
2026-09-18T22:38:26Z INFO [141/368] 0696c590-0c01-44f7-9c9c-801eace5d87d: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:38:28Z INFO [142/368] 06974da7-9166-4f1f-bfd0-50f5705ab1fd: Sackin index -0.0811; 1.3 s; peak memory 1083 MiB.
2026-09-18T22:38:29Z INFO [143/368] 06985895-4eb7-4004-8fcd-cafb41ce8761: Sackin index -0.0728; 1.5 s; peak memory 1083 MiB.
2026-09-18T22:38:31Z INFO [144/368] 069874f6-a203-45c4-a904-d8ac33082164: Sackin index -0.0369; 2.0 s; peak memory 1083 MiB.
2026-09-18T22:38:34Z INFO [145/368] 06995c9a-893b-4235-b386-65bf579eafab: Sackin index -0.0699; 2.6 s; peak memory 1083 MiB.
2026-09-18T22:38:35Z INFO [146/368] 069a0908-11ea-43fd-89c0-7161bb7a52a4: Sackin index -0.0728; 1.6 s; peak memory 1083 MiB.
2026-09-18T22:40:18Z INFO [147/368] 069a3250-8ccd-4b02-85a3-da1e8284e601: Sackin index -0.1076; 102.4 s; peak memory 1083 MiB.
2026-09-18T22:40:31Z INFO [148/368] 069a543e-c7e9-4015-987c-09fa1bbe122b: Sackin index -0.0154; 13.0 s; peak memory 1083 MiB.
2026-09-18T22:40:32Z INFO [149/368] 069abc52-978a-4528-829b-957d9e6db292: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
2026-09-18T22:40:34Z INFO [150/368] 069b45d7-1d95-4679-b810-ad5ecef24d79: Sackin index -0.0728; 1.9 s; peak memory 1083 MiB.
2026-09-18T22:40:34Z INFO [150/368] 069b45d7-1d95-4679-b810-ad5ecef24d79: checkpointed 50051 records.
2026-09-18T22:40:35Z INFO [151/368] 069b8683-a0a8-41c1-a7ed-7f55d16264a4: Sackin index -0.2147; 1.0 s; peak memory 1083 MiB.
2026-09-18T22:40:50Z INFO [152/368] 069bab1e-cbca-440c-87ee-d561e180749f: Sackin index -0.0227; 15.5 s; peak memory 1083 MiB.
2026-09-18T22:40:51Z INFO [153/368] 069be5ca-4bce-4177-830b-a7e9b9395e78: Sackin index -0.1303; 1.0 s; peak memory 1083 MiB.
2026-09-18T22:40:53Z INFO [154/368] 069c27ca-2242-42f4-9c61-d5b107ee62ce: Sackin index -0.1349; 1.1 s; peak memory 1083 MiB.
2026-09-18T22:40:54Z INFO [155/368] 069c474d-9118-429a-a69c-034d8070ad1f: Sackin index -0.0369; 1.9 s; peak memory 1083 MiB.
2026-09-18T22:40:56Z INFO [156/368] 069cb574-8dd0-4c46-9c45-e73a673dc394: Sackin index -0.0881; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:40:58Z INFO [157/368] 069d7758-9d88-4420-b691-a4bec2692b76: Sackin index -0.0275; 2.0 s; peak memory 1083 MiB.
2026-09-18T22:40:59Z INFO [158/368] 069da60f-2eeb-4c8d-8d11-6140332dd31f: Sackin index -0.0702; 1.6 s; peak memory 1083 MiB.
2026-09-18T22:41:01Z INFO [159/368] 069df294-cf2f-4195-b6dd-cd7471f17930: Sackin index -0.0696; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:41:13Z INFO [160/368] 069ec362-d03a-4f3c-b126-45d035de7e56: Sackin index -0.0038; 11.9 s; peak memory 1083 MiB.
2026-09-18T22:41:14Z INFO [161/368] 069f0101-1f71-4217-ad91-6cecb3262a42: Sackin index -0.1602; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:41:16Z INFO [162/368] 06a07c0b-36cb-432a-a785-ae557877dc4a: Sackin index -0.0728; 2.0 s; peak memory 1083 MiB.
2026-09-18T22:41:17Z INFO [163/368] 06a0ca48-b819-4d49-8e4d-8ac0e0219a59: Sackin index -0.1380; 1.4 s; peak memory 1083 MiB.
2026-09-18T22:41:19Z INFO [164/368] 06a1998b-ef7d-4390-aa1d-42ac2e7ea983: Sackin index -0.1349; 1.2 s; peak memory 1083 MiB.
