2026-09-20T18:30:37Z INFO Logging to /tmp/logs/update_2026-09-20T18-30-37Z.log.
2026-09-20T18:30:37Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-20T18:30:37Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:39:32Z INFO [88/363] 0a5b2449-7d34-403d-bd5b-c263e8fade21: Sackin index -0.0693; 1.5 s; peak memory 1126 MiB.
2026-09-20T18:39:33Z INFO [89/363] 0a5c07d8-6802-4036-a0c0-5d616b1d1067: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:33Z INFO [90/363] 0a5c3b75-f690-4ae2-9e54-8de2920a39cc: Sackin index -0.0748; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:39:35Z INFO [91/363] 0a5ed463-2038-486f-a08d-9212764cb87d: Sackin index -0.0272; 1.2 s; peak memory 1126 MiB.
2026-09-20T18:39:36Z INFO [92/363] 0a5ed989-8af7-48c8-8802-9be080414b9c: Sackin index -0.0752; 1.1 s; peak memory 1126 MiB.
2026-09-20T18:39:40Z INFO [93/363] 0a5f6405-d361-4d9e-8fde-8ca00be0f3b4: Sackin index -0.0022; 4.4 s; peak memory 1126 MiB.
2026-09-20T18:39:41Z INFO [94/363] 0a607bf6-5b59-4d7a-a48f-13b03aa469cb: Sackin index -0.0375; 0.9 s; peak memory 1126 MiB.
2026-09-20T18:39:42Z INFO [95/363] 0a60cc59-486f-43aa-bb90-9270b6af8092: Sackin index -0.0745; 0.9 s; peak memory 1126 MiB.
2026-09-20T18:39:42Z INFO [96/363] 0a612d67-854d-4f5a-a6a9-bbeeae6a647a: Sackin index -0.1349; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:39:43Z INFO [97/363] 0a62e368-b70a-4504-91f5-e439a558817b: Sackin index -0.1658; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:39:44Z INFO [98/363] 0a6365f8-c9b9-418e-9628-56fac7fae3a2: Sackin index -0.0369; 1.0 s; peak memory 1126 MiB.
2026-09-20T18:39:44Z INFO [99/363] 0a641dee-6a01-42c5-80a4-4ab5e5c9a54e: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:45Z INFO [100/363] 0a64ba62-f952-46ba-921f-6376c4f690be: Sackin index -0.0702; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:45Z INFO [100/363] 0a64ba62-f952-46ba-921f-6376c4f690be: checkpointed 51867 records.
2026-09-20T18:39:46Z INFO [101/363] 0a65dc69-ad15-40be-a746-0af193b39963: Sackin index -0.0709; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:46Z INFO [102/363] 0a6628e9-b386-4301-85d5-d389a5b2a333: Sackin index -0.2147; 0.4 s; peak memory 1126 MiB.
2026-09-20T18:39:47Z INFO [103/363] 0a66ab88-6cdf-4beb-9846-a3f3443b4ee0: Sackin index -0.1248; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:47Z INFO [104/363] 0a672b5c-3c4d-4895-8f45-f0546d7f4c5b: Sackin index -0.0381; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:48Z INFO [105/363] 0a68ad89-ace2-4814-b543-015b06a87885: Sackin index -0.1026; 0.9 s; peak memory 1126 MiB.
2026-09-20T18:39:49Z INFO [106/363] 0a68d5b1-ab7c-496e-96d9-bccb85952f61: Sackin index -0.0376; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:50Z INFO [107/363] 0a68d913-84a8-4e28-873d-1dee11ed142f: Sackin index -0.1307; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:50Z INFO [108/363] 0a699584-5903-41fe-8aa0-a0ea9aa2cd3f: Sackin index -0.0728; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:39:51Z INFO [109/363] 0a69d149-320f-49e3-a81d-5f843b104745: Sackin index -0.0643; 1.1 s; peak memory 1126 MiB.
2026-09-20T18:39:52Z INFO [110/363] 0a6a669c-5666-4c92-9add-d46c733388b2: Sackin index -0.1658; 0.4 s; peak memory 1126 MiB.
2026-09-20T18:39:52Z INFO [111/363] 0a6ab582-012b-4b00-83ae-f1a73694debf: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:53Z INFO [112/363] 0a6b0764-f262-4205-a86b-665121eb8bba: Sackin index -0.0745; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:39:54Z INFO [113/363] 0a6b9053-376f-49ff-a88b-40bb3886bfac: Sackin index -0.0728; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:39:54Z INFO [114/363] 0a6bb48e-afcd-4632-a9e7-0716a081f3ad: Sackin index -0.1938; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:39:55Z INFO [115/363] 0a6c25bf-1019-4889-9864-9b180a62ff0b: Sackin index -0.0702; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:41:12Z INFO [116/363] 0a6cb1a6-2d3d-4e89-8901-32c392cf418f: Sackin index -0.0305; 77.0 s; peak memory 1126 MiB.
2026-09-20T18:41:13Z INFO [117/363] 0a6cb1fa-cd25-4cc1-aad8-b36f26b753d8: Sackin index -0.0699; 1.4 s; peak memory 1126 MiB.
2026-09-20T18:41:16Z INFO [118/363] 0a6dc924-6791-4eb4-9c0b-5a55b2d3bb8f: Sackin index -0.0403; 2.9 s; peak memory 1126 MiB.
2026-09-20T18:41:17Z INFO [119/363] 0a6e7802-7c7a-46bc-a4d0-adf6aa50cd40: Sackin index -0.0702; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:41:18Z INFO [120/363] 0a6e7fb8-f07f-4ddb-8f36-58da19541841: Sackin index -0.0702; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:41:18Z INFO [121/363] 0a6eca22-2c9d-4e04-8b6b-fd0187bd31f2: Sackin index -0.1356; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:41:20Z INFO [122/363] 0a6fd2fe-870a-4981-a036-4bb50610ca29: Sackin index -0.0614; 1.6 s; peak memory 1126 MiB.
2026-09-20T18:41:21Z INFO [123/363] 0a6fef21-add6-46bc-adc7-07e2fa2f8f37: Sackin index -0.0896; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:41:28Z INFO [124/363] 0a701d7b-48e0-4ae6-b506-38523d282d24: Sackin index -0.0164; 7.0 s; peak memory 1126 MiB.
2026-09-20T18:41:28Z INFO [125/363] 0a713043-cb10-4ef6-a41d-43b404ca52a5: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:41:41Z INFO [126/363] 0a729527-5239-451a-9e9f-d8b864304050: Sackin index -0.0136; 12.7 s; peak memory 1126 MiB.
2026-09-20T18:41:42Z INFO [127/363] 0a736741-c67e-41d0-b17b-890e7aab1c0d: Sackin index -0.0702; 0.7 s; peak memory 1126 MiB.
