2026-09-18T15:53:56Z INFO Logging to /tmp/logs/update_2026-09-18T15-53-56Z.log.
2026-09-18T15:53:56Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T15:53:56Z INFO Processing 500 items (49287 already recorded).
2026-09-18T16:33:47Z INFO [151/500] 05597d7f-0d39-43d4-9fc7-ab1bdfc5bab0: Sackin index -0.0141; 12.5 s; peak memory 1087 MiB.
2026-09-18T16:33:49Z INFO [152/500] 055a7acd-757a-4787-b48e-b9e597e90259: Sackin index -0.0377; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:33:52Z INFO [153/500] 055b9584-ba1d-4ba1-a5ff-4d3f32044e27: Sackin index -0.0978; 2.7 s; peak memory 1087 MiB.
2026-09-18T16:33:54Z INFO [154/500] 055bf50c-9c4a-4852-8b3c-cf997c78b86d: Sackin index -0.0728; 2.0 s; peak memory 1087 MiB.
2026-09-18T16:33:55Z INFO [155/500] 055cc73c-ed61-4982-b342-5c862e8102af: Sackin index -0.0696; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:33:57Z INFO [156/500] 055d1a52-5382-4dcb-aea5-2c4326f56dd1: Sackin index -0.1273; 1.7 s; peak memory 1087 MiB.
2026-09-18T16:33:59Z INFO [157/500] 055d25ba-e711-4908-b440-2cfe0b213b4b: Sackin index -0.0728; 2.1 s; peak memory 1087 MiB.
2026-09-18T16:34:01Z INFO [158/500] 055d4513-2689-40fa-ada9-c6af828c4e46: Sackin index -0.1349; 1.4 s; peak memory 1087 MiB.
2026-09-18T16:34:02Z INFO [159/500] 055d45dd-05a2-4fe6-ae00-b8a677808326: Sackin index -0.0709; 1.6 s; peak memory 1087 MiB.
2026-09-18T16:34:04Z INFO [160/500] 055dbc00-4816-4846-b6cf-809d861295de: Sackin index -0.1248; 1.6 s; peak memory 1087 MiB.
2026-09-18T16:34:06Z INFO [161/500] 055eef36-42e3-45fa-8a84-a8cb54ad6820: Sackin index -0.0728; 1.9 s; peak memory 1087 MiB.
2026-09-18T16:36:00Z INFO [162/500] 055f3d81-a5b3-4f81-b5eb-8ebc297a76d6: Sackin index -0.0414; 114.6 s; peak memory 1087 MiB.
2026-09-18T16:36:04Z INFO [163/500] 0560c9cd-6f1e-4ffb-8edf-a49075542b21: Sackin index -0.0677; 3.6 s; peak memory 1087 MiB.
2026-09-18T16:36:08Z INFO [164/500] 0560da8d-d103-4f9c-8dd4-393db2c06f76: Sackin index -0.0660; 3.9 s; peak memory 1087 MiB.
2026-09-18T16:36:09Z INFO [165/500] 05614d0b-9e92-4cc8-b856-aea020cdccbd: Sackin index -0.1201; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:36:10Z INFO [166/500] 056211f7-b3fa-49a4-8b3b-814e88145c83: Sackin index -0.1349; 1.3 s; peak memory 1087 MiB.
2026-09-18T16:36:12Z INFO [167/500] 056294e5-2a3c-4bc7-bed4-a96e8a5bc241: Sackin index -0.0991; 1.7 s; peak memory 1087 MiB.
