2026-09-24T16:34:06Z INFO Logging to /tmp/logs/update_2026-09-24T16-34-06Z.log.
2026-09-24T16:34:06Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T16:34:06Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:40:31Z INFO [88/371] 12ae8857-7225-4a8e-b8f7-e86e02e2739c: Sackin index -0.0341; 8.1 s; peak memory 304 MiB.
2026-09-24T16:40:32Z INFO [89/371] 12aed46e-2823-49ae-80e2-7e4adf81d936: Sackin index -0.2168; 0.8 s; peak memory 304 MiB.
2026-09-24T16:40:34Z INFO [90/371] 12af8d74-7815-4d42-a3e5-b40e6eb83a59: Sackin index -0.0728; 1.3 s; peak memory 304 MiB.
2026-09-24T16:40:36Z INFO [91/371] 12afca9c-4bac-4ec4-a569-0615691b39b9: Sackin index -0.0585; 2.3 s; peak memory 304 MiB.
2026-09-24T16:40:37Z INFO [92/371] 12afe951-e765-429d-82f9-66c297b51aa7: Sackin index -0.0738; 1.4 s; peak memory 304 MiB.
2026-09-24T16:41:21Z INFO [93/371] 12b00315-e14e-4857-8887-e9c0510ac721: Sackin index -0.1144; 44.0 s; peak memory 304 MiB.
2026-09-24T16:41:23Z INFO [94/371] 12b00d97-6abd-42a6-a7e9-d7f7fd56aaaa: Sackin index -0.0696; 1.3 s; peak memory 304 MiB.
2026-09-24T16:41:24Z INFO [95/371] 12b04bdb-c339-438b-9c2d-94afa2c7f8da: Sackin index -0.0745; 1.4 s; peak memory 304 MiB.
2026-09-24T16:41:25Z INFO [96/371] 12b19540-2df1-4a10-a131-90db4f3a03d4: Sackin index -0.0702; 1.3 s; peak memory 304 MiB.
2026-09-24T16:41:27Z INFO [97/371] 12b1d616-4d7c-4709-9b89-f9fa6f1f266a: Sackin index -0.0373; 1.9 s; peak memory 304 MiB.
2026-09-24T16:41:34Z INFO [98/371] 12b1dc16-4a01-4404-a412-21dfaaebc717: Sackin index -0.0380; 7.0 s; peak memory 304 MiB.
2026-09-24T16:41:35Z INFO [99/371] 12b258f5-df3a-4550-a93a-574ddb125bb6: Sackin index -0.1248; 1.1 s; peak memory 304 MiB.
2026-09-24T16:41:36Z INFO [100/371] 12b2de3b-865c-49f9-a1fd-9c89bfc090fa: Sackin index -0.1356; 0.9 s; peak memory 304 MiB.
2026-09-24T16:41:36Z INFO [100/371] 12b2de3b-865c-49f9-a1fd-9c89bfc090fa: checkpointed 55898 records.
2026-09-24T16:41:39Z INFO [101/371] 12b36384-ec7c-4dee-9ad6-d31c191f2731: Sackin index -0.0660; 2.6 s; peak memory 304 MiB.
2026-09-24T16:41:40Z INFO [102/371] 12b43d4b-166a-476a-91ac-24631be55d54: Sackin index -0.0702; 1.1 s; peak memory 304 MiB.
2026-09-24T16:41:42Z INFO [103/371] 12b45946-5a82-40d1-9cdb-af789b7ff6fc: Sackin index -0.0881; 1.5 s; peak memory 304 MiB.
2026-09-24T16:41:43Z INFO [104/371] 12b47ea2-3ff2-4068-a5ca-cb48868de0a6: Sackin index -0.0728; 1.5 s; peak memory 304 MiB.
2026-09-24T16:41:44Z INFO [105/371] 12b48acc-3eb6-4aa3-8a5c-b9f6c1dcc20d: Sackin index -0.1349; 1.1 s; peak memory 304 MiB.
2026-09-24T16:41:59Z INFO [106/371] 12b4aa27-b1ec-4a1e-bb26-9c21a335cbda: Sackin index -0.1367; 14.7 s; peak memory 304 MiB.
2026-09-24T16:42:04Z INFO [107/371] 12b4daf8-657c-4466-9a27-e20edffae922: Sackin index -0.0102; 4.7 s; peak memory 304 MiB.
2026-09-24T16:42:05Z INFO [108/371] 12b5bd8a-9a3a-4eba-8d6b-65c79476e861: Sackin index -0.1331; 1.0 s; peak memory 304 MiB.
2026-09-24T16:42:06Z INFO [109/371] 12b60cf6-afd0-4ea2-82b2-9befae694db5: Sackin index -0.0709; 1.2 s; peak memory 304 MiB.
2026-09-24T16:42:07Z INFO [110/371] 12b7b6a8-bf6f-4214-a963-36ee0a0ffbff: Sackin index -0.1658; 0.7 s; peak memory 304 MiB.
2026-09-24T16:42:07Z INFO [111/371] 12b7c6be-ba8f-46b0-99ca-0278da077aa7: Sackin index -0.1349; 1.0 s; peak memory 304 MiB.
2026-09-24T16:42:08Z INFO [112/371] 12b8092f-8a71-4bf3-bd81-1bbc726f4d4b: Sackin index -0.1349; 0.9 s; peak memory 304 MiB.
2026-09-24T16:42:14Z INFO [113/371] 12bb0a4f-ff89-41f8-92e9-f8e6f4e94f5d: Sackin index -0.0455; 5.8 s; peak memory 304 MiB.
2026-09-24T16:42:15Z INFO [114/371] 12bba5f5-88d4-495b-ba8a-57377aeb3248: Sackin index -0.1716; 1.0 s; peak memory 304 MiB.
2026-09-24T16:42:16Z INFO [115/371] 12bcd538-749b-4072-9939-36a662dfa9b1: Sackin index -0.0745; 1.3 s; peak memory 304 MiB.
2026-09-24T16:42:36Z INFO [116/371] 12bd530e-25f3-4b90-9a05-b5265c9bcfea: Sackin index -0.0029; 19.9 s; peak memory 304 MiB.
2026-09-24T16:42:37Z INFO [117/371] 12bd64f3-79a9-49a4-b3b4-35d3e28e6186: Sackin index -0.1349; 0.9 s; peak memory 304 MiB.
2026-09-24T16:43:04Z INFO [118/371] 12bdb5b8-70a0-4261-87d1-e087ac489c87: Sackin index -0.0026; 27.1 s; peak memory 304 MiB.
