2026-09-21T19:05:19Z INFO Logging to /tmp/logs/update_2026-09-21T19-05-19Z.log.
2026-09-21T19:05:19Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T19:05:19Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:10:47Z INFO [90/356] 0cafd369-2eef-4504-b25c-0471ffc114c9: Sackin index -0.1117; 1.3 s; peak memory 212 MiB.
2026-09-21T19:10:49Z INFO [91/356] 0cafe0d3-4359-4090-b642-b20aaac01c94: Sackin index -0.0681; 2.4 s; peak memory 212 MiB.
2026-09-21T19:10:50Z INFO [92/356] 0cb0ce39-d72b-4704-9f88-bc66a5c7c731: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:10:52Z INFO [93/356] 0cb1add9-a132-41d2-b51a-994a6d21ff8c: Sackin index -0.0369; 1.9 s; peak memory 212 MiB.
2026-09-21T19:10:53Z INFO [94/356] 0cb296af-b97f-457b-a243-a267148fd4ea: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:10:54Z INFO [95/356] 0cb3f9b5-0c65-4228-b6b3-cfc3fdbb4a4b: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:10:55Z INFO [96/356] 0cb48758-35c9-4f76-b675-40c9580f7d64: Sackin index -0.0379; 1.5 s; peak memory 212 MiB.
2026-09-21T19:10:57Z INFO [97/356] 0cb50ad4-a246-4121-8dac-9cc1160b4023: Sackin index -0.1349; 1.0 s; peak memory 212 MiB.
2026-09-21T19:10:57Z INFO [98/356] 0cb6018c-007a-40dd-b5de-fd0117ac3299: Sackin index -0.1349; 0.9 s; peak memory 212 MiB.
2026-09-21T19:10:59Z INFO [99/356] 0cb61ed4-f561-4f93-b14c-432de49e6619: Sackin index -0.0824; 1.9 s; peak memory 212 MiB.
2026-09-21T19:11:00Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: Sackin index -0.0390; 1.1 s; peak memory 212 MiB.
2026-09-21T19:11:01Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: checkpointed 52966 records.
2026-09-21T19:11:02Z INFO [101/356] 0cb7ccaf-7c74-414b-ae72-4e1d8f9e04c1: Sackin index -0.0944; 1.8 s; peak memory 212 MiB.
2026-09-21T19:11:04Z INFO [102/356] 0cb9539b-06dc-4fa1-99b6-5335e8cbf0cf: Sackin index -0.0702; 1.3 s; peak memory 212 MiB.
2026-09-21T19:11:05Z INFO [103/356] 0cb99df3-ef1d-43a4-87f8-e75ce0b815ae: Sackin index -0.0375; 1.6 s; peak memory 212 MiB.
2026-09-21T19:11:06Z INFO [104/356] 0cb9c43a-6610-4101-9bcb-a221055dd28e: Sackin index -0.2147; 0.8 s; peak memory 212 MiB.
2026-09-21T19:11:08Z INFO [105/356] 0cba574d-cd88-46e7-aa14-08adf4e88878: Sackin index -0.0728; 1.6 s; peak memory 212 MiB.
2026-09-21T19:11:09Z INFO [106/356] 0cba6224-5ca0-4e75-940a-6a3fc72d3f5c: Sackin index -0.0728; 1.6 s; peak memory 212 MiB.
2026-09-21T19:11:11Z INFO [107/356] 0cbae780-a8b5-4caf-afa0-460218e004ba: Sackin index -0.0275; 1.8 s; peak memory 212 MiB.
2026-09-21T19:11:30Z INFO [108/356] 0cbb05ef-ac17-47d0-bd80-43e32d51800c: Sackin index -0.1367; 18.9 s; peak memory 212 MiB.
2026-09-21T19:11:44Z INFO [109/356] 0cbb3125-fc72-4a6a-999f-73818b3d07e7: Sackin index -0.1938; 14.4 s; peak memory 212 MiB.
2026-09-21T19:11:46Z INFO [110/356] 0cbb777a-a217-4422-8ce6-e97b1743e300: Sackin index -0.1142; 1.4 s; peak memory 212 MiB.
2026-09-21T19:11:47Z INFO [111/356] 0cbbd328-4a05-41c6-a388-23bee34ae855: Sackin index -0.1716; 1.0 s; peak memory 212 MiB.
2026-09-21T19:11:48Z INFO [112/356] 0cbcc93b-6413-42a4-9ff2-192db81e59a9: Sackin index -0.0696; 1.1 s; peak memory 212 MiB.
2026-09-21T19:11:50Z INFO [113/356] 0cbd268d-e2ff-4919-ab28-aafde7e83f56: Sackin index -0.0276; 1.7 s; peak memory 212 MiB.
2026-09-21T19:11:51Z INFO [114/356] 0cbdeb16-eafa-4fdf-9dda-3bd5892a04ba: Sackin index -0.0702; 1.4 s; peak memory 212 MiB.
2026-09-21T19:11:53Z INFO [115/356] 0cbe9f74-495d-46a9-b6dd-afe7e8a46450: Sackin index -0.1938; 2.1 s; peak memory 212 MiB.
2026-09-21T19:11:55Z INFO [116/356] 0cbefd5a-2284-4167-b2cd-bfd7aa5066a7: Sackin index -0.0728; 1.4 s; peak memory 212 MiB.
2026-09-21T19:11:56Z INFO [117/356] 0cbf0247-8612-47d2-b9e1-ab0d7b03361e: Sackin index -0.0702; 1.0 s; peak memory 212 MiB.
2026-09-21T19:11:57Z INFO [118/356] 0cbf33c8-0d31-4587-aa4d-6adc96eefc82: Sackin index -0.1658; 1.0 s; peak memory 212 MiB.
2026-09-21T19:11:59Z INFO [119/356] 0cbfe541-294f-42e4-b142-b41b61d90ed8: Sackin index -0.0369; 1.9 s; peak memory 212 MiB.
2026-09-21T19:12:02Z INFO [120/356] 0cc0b6b8-856b-4f8b-aa67-71f7f3e3a109: Sackin index -0.0599; 3.1 s; peak memory 212 MiB.
2026-09-21T19:12:03Z INFO [121/356] 0cc0bc15-41f5-4fcf-aa44-ed1330bed371: Sackin index -0.0881; 1.1 s; peak memory 212 MiB.
2026-09-21T19:12:04Z INFO [122/356] 0cc1beb6-692b-499a-83c7-906fccfbbfe1: Sackin index -0.0709; 1.2 s; peak memory 212 MiB.
2026-09-21T19:12:05Z INFO [123/356] 0cc203e6-6a52-4adf-9169-437802d79c52: Sackin index -0.0702; 1.3 s; peak memory 212 MiB.
