2026-09-17T20:58:55Z INFO Logging to /tmp/logs/update_2026-09-17T20-58-55Z.log.
2026-09-17T20:58:55Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T20:58:55Z INFO Processing 372 items (48415 already recorded).
2026-09-17T21:04:29Z INFO [61/372] 033d382a-2c62-4ffe-bb74-96206a90494f: Sackin index -0.0702; 1.9 s; peak memory 289 MiB.
2026-09-17T21:04:32Z INFO [62/372] 033d8d0b-cea4-46cc-bfb3-e61d0c0752fb: Sackin index -0.0676; 2.8 s; peak memory 289 MiB.
2026-09-17T21:04:34Z INFO [63/372] 033d9c38-e089-4acd-98d1-f9ddea1d2f1f: Sackin index -0.0702; 1.6 s; peak memory 289 MiB.
2026-09-17T21:04:35Z INFO [64/372] 033e4d1b-3d5a-47f9-9bd9-84f13d5b61b0: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:06:43Z INFO [65/372] 033e5861-9814-4ea9-954f-274d18eb7bee: Sackin index -0.0450; 127.5 s; peak memory 289 MiB.
2026-09-17T21:06:45Z INFO [66/372] 033ec5e9-54cd-42e6-89dc-8c322e840af7: Sackin index -0.0709; 1.7 s; peak memory 289 MiB.
2026-09-17T21:06:51Z INFO [67/372] 033ec793-815e-45de-8b0a-5a757a24088e: Sackin index -0.0403; 6.7 s; peak memory 289 MiB.
2026-09-17T21:06:53Z INFO [68/372] 033ecaf2-4476-4e89-b35f-62e574b72276: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:07:02Z INFO [69/372] 033f1196-2003-4a85-9a8d-74c8be3f959c: Sackin index -0.2073; 9.4 s; peak memory 289 MiB.
2026-09-17T21:07:11Z INFO [70/372] 033f30d2-fded-43cc-92bf-5072c7f2ea79: Sackin index -0.1938; 9.3 s; peak memory 289 MiB.
2026-09-17T21:07:13Z INFO [71/372] 033ff4cc-fbf8-417e-ba0a-e80109ef5570: Sackin index -0.0746; 2.1 s; peak memory 289 MiB.
2026-09-17T21:07:15Z INFO [72/372] 0340759f-74fc-41fc-9fc9-605074496141: Sackin index -0.1658; 1.2 s; peak memory 289 MiB.
2026-09-17T21:07:17Z INFO [73/372] 0340dde7-e96d-4987-a010-3b1df685f62d: Sackin index -0.1013; 2.0 s; peak memory 289 MiB.
2026-09-17T21:07:18Z INFO [74/372] 0341d644-1a05-46c4-8ca1-0a92757b37e9: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:07:20Z INFO [75/372] 03420196-33e6-459e-92e4-90fc641aa13b: Sackin index -0.0722; 2.2 s; peak memory 289 MiB.
2026-09-17T21:07:43Z INFO [76/372] 0342434a-7129-40e7-9047-553015a90051: Sackin index -0.0176; 22.2 s; peak memory 289 MiB.
2026-09-17T21:07:44Z INFO [77/372] 034337ce-552e-4693-a83c-51edff94dfde: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:07:46Z INFO [78/372] 03439f5b-5ab5-439c-84d4-76c216a1193e: Sackin index -0.0728; 2.1 s; peak memory 289 MiB.
2026-09-17T21:07:50Z INFO [79/372] 0343e283-6f6b-476b-a17d-cdd0aa50c35b: Sackin index -0.0699; 3.5 s; peak memory 289 MiB.
2026-09-17T21:07:51Z INFO [80/372] 03445840-960f-4596-bf0a-9a4b4bbb4f13: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:07:54Z INFO [81/372] 03455b72-9749-4c19-87c7-170f51106c83: Sackin index -0.0941; 2.4 s; peak memory 289 MiB.
2026-09-17T21:07:55Z INFO [82/372] 03458a9e-f0ea-4e95-9c55-75721462acf5: Sackin index -0.1658; 1.4 s; peak memory 289 MiB.
