2026-09-24T00:15:34Z INFO Logging to /tmp/logs/update_2026-09-24T00-15-34Z.log.
2026-09-24T00:15:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T00:15:35Z INFO Processing 379 items (55419 already recorded).
2026-09-24T00:27:28Z INFO [91/379] 11fb8235-157f-4239-9fc2-7620978a61c5: Sackin index -0.0696; 1.7 s; peak memory 266 MiB.
2026-09-24T00:27:29Z INFO [92/379] 11fb97ad-fb19-4b0d-ba27-817a46de01d9: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:27:31Z INFO [93/379] 11fbc4d1-a204-4f06-af01-9b20905404f5: Sackin index -0.1269; 2.3 s; peak memory 266 MiB.
2026-09-24T00:27:45Z INFO [94/379] 11fc6920-b435-4628-9446-35754187f33d: Sackin index -0.0138; 13.4 s; peak memory 266 MiB.
2026-09-24T00:27:57Z INFO [95/379] 11fc6a93-d244-4752-b8bf-b5fb6873d8c6: Sackin index -0.0164; 12.5 s; peak memory 266 MiB.
2026-09-24T00:27:58Z INFO [96/379] 11fcb818-bca0-44e1-a074-76e02b5c332b: Sackin index -0.2000; 0.9 s; peak memory 266 MiB.
2026-09-24T00:28:09Z INFO [97/379] 11fda530-e803-474c-8d48-2a0e0bbef3ad: Sackin index -0.0341; 10.6 s; peak memory 266 MiB.
2026-09-24T00:28:10Z INFO [98/379] 11feaeef-3944-402a-add1-519a7056c4b4: Sackin index -0.1511; 1.0 s; peak memory 266 MiB.
2026-09-24T00:28:11Z INFO [99/379] 11ff0d56-e359-4ca0-8562-788c921538f4: Sackin index -0.1135; 1.0 s; peak memory 266 MiB.
2026-09-24T00:28:12Z INFO [100/379] 11ffb9ce-d6fe-4d85-a7fb-bb599e6dda48: Sackin index -0.1448; 1.2 s; peak memory 266 MiB.
2026-09-24T00:28:12Z INFO [100/379] 11ffb9ce-d6fe-4d85-a7fb-bb599e6dda48: checkpointed 55519 records.
2026-09-24T00:28:23Z INFO [101/379] 12002ebd-c3c0-4c7d-9a77-db590f4795d9: Sackin index -0.0132; 11.3 s; peak memory 266 MiB.
2026-09-24T00:28:25Z INFO [102/379] 1200b15a-028a-4414-943e-b32aeaf31200: Sackin index -0.0745; 1.5 s; peak memory 266 MiB.
2026-09-24T00:28:26Z INFO [103/379] 1200e0e3-e430-4006-a469-53f1fde9c00d: Sackin index -0.0702; 1.6 s; peak memory 266 MiB.
2026-09-24T00:28:28Z INFO [104/379] 1200f110-f397-46d2-a2e0-f6ae84674653: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:28:42Z INFO [105/379] 12015104-8ec2-4418-872e-51ed11095dec: Sackin index -0.0407; 14.0 s; peak memory 266 MiB.
2026-09-24T00:29:22Z INFO [106/379] 12019d91-2b45-45da-89cb-f345f018722d: Sackin index -0.1144; 40.1 s; peak memory 266 MiB.
2026-09-24T00:29:24Z INFO [107/379] 1201b39a-a8ae-4032-89ab-eb8c5402f42f: Sackin index -0.0752; 1.9 s; peak memory 266 MiB.
2026-09-24T00:29:25Z INFO [108/379] 12035adc-54f9-4e3b-8131-2ffb6b0cf7c3: Sackin index -0.1349; 1.4 s; peak memory 266 MiB.
2026-09-24T00:29:26Z INFO [109/379] 12041904-7898-4d75-9c4d-85f160d81e51: Sackin index -0.1349; 1.2 s; peak memory 266 MiB.
2026-09-24T00:29:28Z INFO [110/379] 12041b2a-269d-412b-8df8-c68c79604681: Sackin index -0.0702; 1.6 s; peak memory 266 MiB.
2026-09-24T00:29:29Z INFO [111/379] 1205bbd8-888a-4c32-b63e-4a1268ff95b7: Sackin index -0.0984; 1.5 s; peak memory 266 MiB.
2026-09-24T00:29:31Z INFO [112/379] 1205f767-eecb-4afd-a374-028c5fd7c6f4: Sackin index -0.1349; 1.2 s; peak memory 266 MiB.
2026-09-24T00:29:32Z INFO [113/379] 12060631-d404-43ea-a54e-32d7e47a4470: Sackin index -0.1658; 1.0 s; peak memory 266 MiB.
2026-09-24T00:29:33Z INFO [114/379] 1206f64c-3d08-4916-8039-ce5e121555d4: Sackin index -0.1349; 1.4 s; peak memory 266 MiB.
2026-09-24T00:29:39Z INFO [115/379] 1208df2d-6d5b-4037-b56f-0d6f6b2f9d60: Sackin index -0.0280; 6.3 s; peak memory 266 MiB.
2026-09-24T00:29:42Z INFO [116/379] 1208eb1e-8106-4d13-b157-b834ad6b1d53: Sackin index -0.1291; 2.5 s; peak memory 266 MiB.
2026-09-24T00:29:59Z INFO [117/379] 1209f31a-acda-4ee9-9d9b-4eb861acf8f4: Sackin index -0.0408; 16.9 s; peak memory 266 MiB.
2026-09-24T00:30:00Z INFO [118/379] 120a2703-8221-4418-889f-be0adf7495cf: Sackin index -0.0748; 1.6 s; peak memory 266 MiB.
2026-09-24T00:30:21Z INFO [119/379] 120a27e8-f074-41fd-80be-513db971a0dc: Sackin index -0.0121; 20.2 s; peak memory 266 MiB.
2026-09-24T00:30:23Z INFO [120/379] 120a6996-db51-4ade-aba8-5087c0e6d68f: Sackin index -0.1291; 2.2 s; peak memory 266 MiB.
