2026-09-26T00:23:18Z INFO Logging to /tmp/logs/update_2026-09-26T00-23-18Z.log.
2026-09-26T00:23:18Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T00:23:18Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:28:16Z INFO [59/364] 167a71ea-c67e-42b1-b0ba-66c36cacc32f: Sackin index -0.1602; 1.3 s; peak memory 346 MiB.
2026-09-26T00:28:17Z INFO [60/364] 167ad10b-909e-4970-853c-dc0008e19c34: Sackin index -0.1213; 1.0 s; peak memory 346 MiB.
2026-09-26T00:28:19Z INFO [61/364] 167bb74f-cc97-40cd-a91c-7bc9ef3886f2: Sackin index -0.0709; 1.5 s; peak memory 346 MiB.
2026-09-26T00:28:21Z INFO [62/364] 167c3028-35a4-4ce2-a67f-ce51e39da5c1: Sackin index -0.0275; 2.0 s; peak memory 346 MiB.
2026-09-26T00:28:22Z INFO [63/364] 167c56b1-74e0-4e46-9afa-808a0de997d6: Sackin index -0.0702; 1.4 s; peak memory 346 MiB.
2026-09-26T00:28:23Z INFO [64/364] 167cd81b-5cf0-4546-a370-986a5c150372: Sackin index -0.1303; 1.0 s; peak memory 346 MiB.
2026-09-26T00:28:28Z INFO [65/364] 167cdbb4-e606-487f-976e-7e8840b9dac1: Sackin index -0.0319; 4.7 s; peak memory 346 MiB.
2026-09-26T00:28:30Z INFO [66/364] 167d1112-9299-4fe8-87a2-3422b69652ea: Sackin index -0.0728; 1.8 s; peak memory 346 MiB.
2026-09-26T00:28:31Z INFO [67/364] 167d52b3-d72a-4aef-a0d3-9e5f3c984ca9: Sackin index -0.0696; 1.4 s; peak memory 346 MiB.
2026-09-26T00:28:39Z INFO [68/364] 167d81ea-9a12-435d-bb4d-65766c6da074: Sackin index -0.0251; 7.6 s; peak memory 346 MiB.
2026-09-26T00:28:40Z INFO [69/364] 167ddabe-c750-4850-b042-198080530447: Sackin index -0.0728; 1.6 s; peak memory 347 MiB.
2026-09-26T00:28:42Z INFO [70/364] 167fad12-47f6-4f12-85b3-8ec73799b4b3: Sackin index -0.0748; 1.4 s; peak memory 347 MiB.
2026-09-26T00:28:43Z INFO [71/364] 1682f69f-5666-4e0e-8b35-1167c4f5009a: Sackin index -0.1331; 1.2 s; peak memory 347 MiB.
2026-09-26T00:28:58Z INFO [72/364] 16849685-3a07-42fd-88e1-e46647c25a7a: Sackin index -0.0235; 15.3 s; peak memory 347 MiB.
