2026-09-26T10:52:16Z INFO Logging to /tmp/logs/update_2026-09-26T10-52-16Z.log.
2026-09-26T10:52:16Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T10:52:16Z INFO Processing 384 items (58022 already recorded).
2026-09-26T11:17:54Z INFO [147/384] 17622f60-43b3-4255-b374-9a33cd33bbb3: Sackin index -0.0272; 5.2 s; peak memory 1225 MiB.
2026-09-26T11:17:56Z INFO [148/384] 1762a692-9277-4fb0-b579-9f8dab3899e3: Sackin index -0.0707; 1.4 s; peak memory 1225 MiB.
2026-09-26T11:18:02Z INFO [149/384] 176324a3-6a79-44f0-a069-059aa9df9aa3: Sackin index -0.0415; 5.9 s; peak memory 1225 MiB.
2026-09-26T11:18:04Z INFO [150/384] 1763d30e-1b3a-45d3-a0fc-15d83b03c242: Sackin index -0.0246; 2.4 s; peak memory 1225 MiB.
2026-09-26T11:18:04Z INFO [150/384] 1763d30e-1b3a-45d3-a0fc-15d83b03c242: checkpointed 58172 records.
2026-09-26T11:18:10Z INFO [151/384] 176487cd-2202-40c0-a792-77155657088c: Sackin index -0.0403; 5.4 s; peak memory 1225 MiB.
2026-09-26T11:18:11Z INFO [152/384] 1765021c-6035-4154-b448-8e9d64aab579: Sackin index -0.1658; 1.0 s; peak memory 1225 MiB.
2026-09-26T11:18:12Z INFO [153/384] 17652a82-f9f8-4523-b0a1-dac27b494d01: Sackin index -0.1349; 1.2 s; peak memory 1225 MiB.
2026-09-26T11:18:15Z INFO [154/384] 17654cec-4dc5-4e81-975d-304f1a8ff7e2: Sackin index -0.0693; 3.0 s; peak memory 1225 MiB.
2026-09-26T11:18:17Z INFO [155/384] 17657de4-da99-4816-b2ad-a3e763b0a0d9: Sackin index -0.0371; 1.7 s; peak memory 1225 MiB.
2026-09-26T11:18:18Z INFO [156/384] 17663eef-3cff-43e8-ac5a-ad2a010f6569: Sackin index -0.0696; 1.5 s; peak memory 1225 MiB.
2026-09-26T11:18:19Z INFO [157/384] 176678bd-da74-4357-9d5a-f2310a6e169d: Sackin index -0.1349; 1.1 s; peak memory 1225 MiB.
2026-09-26T11:18:32Z INFO [158/384] 17671def-c778-4d5a-be06-2b29871a4c98: Sackin index -0.0149; 13.0 s; peak memory 1225 MiB.
2026-09-26T11:18:34Z INFO [159/384] 1768952a-5a89-4975-9513-14fef4d32e5b: Sackin index -0.1273; 1.7 s; peak memory 1225 MiB.
2026-09-26T11:18:35Z INFO [160/384] 1768e430-8c7d-4994-98a7-09bb72819ac6: Sackin index -0.0696; 1.5 s; peak memory 1225 MiB.
2026-09-26T11:18:37Z INFO [161/384] 17690fb6-89df-4eaf-9c8d-a6412aa6267c: Sackin index -0.0752; 1.9 s; peak memory 1225 MiB.
2026-09-26T11:18:38Z INFO [162/384] 176969f1-3efa-4127-accb-adeca12d6165: Sackin index -0.1239; 1.1 s; peak memory 1225 MiB.
2026-09-26T11:18:48Z INFO [163/384] 17699963-e94f-4134-b867-15b516a7aff4: Sackin index -0.0240; 10.0 s; peak memory 1225 MiB.
2026-09-26T11:18:50Z INFO [164/384] 176a4169-3f41-4c64-a801-f6ce090c6940: Sackin index -0.1349; 1.2 s; peak memory 1225 MiB.
2026-09-26T11:18:52Z INFO [165/384] 176ac97f-71c0-43de-9f4b-a64c3c66c658: Sackin index -0.0728; 1.9 s; peak memory 1225 MiB.
2026-09-26T11:18:53Z INFO [166/384] 176b13e6-37ac-4bc2-9035-64531e8e8aef: Sackin index -0.0728; 1.8 s; peak memory 1225 MiB.
2026-09-26T11:18:55Z INFO [167/384] 176b5466-5310-4ade-81c8-d4cb72852b6b: Sackin index -0.1349; 1.3 s; peak memory 1225 MiB.
2026-09-26T11:18:56Z INFO [168/384] 176b584c-be42-4ce2-98e9-89830806f3e1: Sackin index -0.0376; 1.7 s; peak memory 1225 MiB.
2026-09-26T11:18:57Z INFO [169/384] 176bbbf4-f5c5-4c84-8fd0-d7cd108faa72: Sackin index -0.1349; 1.2 s; peak memory 1225 MiB.
