2026-09-25T11:14:34Z INFO Logging to /tmp/logs/update_2026-09-25T11-14-34Z.log.
2026-09-25T11:14:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-25T11:14:35Z INFO Processing 381 items (56910 already recorded).
2026-09-25T11:27:06Z INFO [64/381] 14ef610d-06cc-4a6c-87ed-6dadc37492ab: Sackin index -0.1349; 1.2 s; peak memory 420 MiB.
2026-09-25T11:27:07Z INFO [65/381] 14f05a66-5c34-40fa-a9da-4b1b76099134: Sackin index -0.1349; 1.2 s; peak memory 420 MiB.
2026-09-25T11:27:10Z INFO [66/381] 14f078dd-5b0b-4a77-bdbc-11d44e3cad4a: Sackin index -0.0699; 2.8 s; peak memory 420 MiB.
2026-09-25T11:27:11Z INFO [67/381] 14f1af01-bf18-4904-a605-d8f1ce81dbe5: Sackin index -0.1658; 1.1 s; peak memory 420 MiB.
2026-09-25T11:27:13Z INFO [68/381] 14f21e19-c31a-4a82-a9f5-d2a74e15aef9: Sackin index -0.0383; 1.6 s; peak memory 420 MiB.
2026-09-25T11:27:15Z INFO [69/381] 14f3304f-48cd-495d-8986-58e6953e0631: Sackin index -0.0375; 1.7 s; peak memory 420 MiB.
2026-09-25T11:27:16Z INFO [70/381] 14f349e0-6c34-498d-a7d9-06e96a1a0a5d: Sackin index -0.1349; 1.2 s; peak memory 420 MiB.
2026-09-25T11:29:17Z INFO [71/381] 14f3507c-63c5-4e72-bca3-b004877c89bc: Sackin index -0.0032; 121.7 s; peak memory 489 MiB.
2026-09-25T11:29:19Z INFO [72/381] 14f37951-de91-42e5-b55d-a33f91fa8d6f: Sackin index -0.0369; 1.8 s; peak memory 489 MiB.
2026-09-25T11:29:20Z INFO [73/381] 14f43350-639c-4508-8ef7-c3cd74357401: Sackin index -0.1448; 1.1 s; peak memory 489 MiB.
2026-09-25T11:29:21Z INFO [74/381] 14f4b69a-7f98-4a54-b98b-920382313995: Sackin index -0.1178; 1.0 s; peak memory 489 MiB.
2026-09-25T11:29:23Z INFO [75/381] 14f4e496-20d3-447d-b9cf-5e5603293175: Sackin index -0.0745; 1.7 s; peak memory 489 MiB.
2026-09-25T11:29:27Z INFO [76/381] 14f5103f-d016-44eb-8277-d42f91b3199f: Sackin index -0.0660; 3.7 s; peak memory 489 MiB.
2026-09-25T11:29:29Z INFO [77/381] 14f5195d-8f41-4da7-bcc3-f65d172e8972: Sackin index -0.0728; 2.0 s; peak memory 489 MiB.
2026-09-25T11:29:30Z INFO [78/381] 14f53915-0607-45d1-a392-7cbd03d9f7aa: Sackin index -0.1349; 1.1 s; peak memory 489 MiB.
2026-09-25T11:29:33Z INFO [79/381] 14f58237-2fa1-4ba3-ac4f-61d58e916505: Sackin index -0.0694; 3.0 s; peak memory 489 MiB.
2026-09-25T11:29:48Z INFO [80/381] 14f59e65-e355-4642-bb4e-43fde46814ee: Sackin index -0.0124; 14.9 s; peak memory 489 MiB.
2026-09-25T11:29:49Z INFO [81/381] 14f606b5-5332-4dca-b33e-23214a232dfb: Sackin index -0.1349; 1.2 s; peak memory 489 MiB.
2026-09-25T11:30:02Z INFO [82/381] 14f617d9-c65b-4dea-b988-cd0979f9ea80: Sackin index -0.0078; 13.4 s; peak memory 489 MiB.
2026-09-25T11:30:04Z INFO [83/381] 14f6e60f-79c4-48ff-9da2-2546b5eceaf5: Sackin index -0.0702; 1.7 s; peak memory 489 MiB.
2026-09-25T11:30:06Z INFO [84/381] 14f6e7ac-4eed-4e05-b74d-216ab7aad44d: Sackin index -0.0702; 1.7 s; peak memory 489 MiB.
2026-09-25T11:30:08Z INFO [85/381] 14f70b9b-0c0a-4a1b-95ab-09061a054074: Sackin index -0.0745; 2.1 s; peak memory 489 MiB.
2026-09-25T11:30:17Z INFO [86/381] 14f8374d-8842-406f-9fb6-7afeaa999c82: Sackin index -0.0308; 9.1 s; peak memory 489 MiB.
2026-09-25T11:30:20Z INFO [87/381] 14f956e3-fbf5-45b9-afbf-1b4e2c8ae02b: Sackin index -0.0824; 2.8 s; peak memory 489 MiB.
2026-09-25T11:32:30Z INFO [88/381] 14f969ce-d04d-4a08-a5cd-f6aa5fbd2f8f: Sackin index -0.0032; 130.4 s; peak memory 490 MiB.
2026-09-25T11:32:31Z INFO [89/381] 14f96f73-1b44-4b37-b846-7c4b811d70c3: Sackin index -0.1349; 1.3 s; peak memory 490 MiB.
2026-09-25T11:32:33Z INFO [90/381] 14f998fa-20d0-44c7-b7c7-c232fdbf55d8: Sackin index -0.0702; 1.4 s; peak memory 490 MiB.
2026-09-25T11:32:34Z INFO [91/381] 14fa0273-1afd-42fc-a64c-421b13e97179: Sackin index -0.1349; 1.2 s; peak memory 490 MiB.
2026-09-25T11:32:40Z INFO [92/381] 14fa3638-809d-4ffa-b307-3a1d734d51bc: Sackin index -0.0403; 5.7 s; peak memory 490 MiB.
2026-09-25T11:32:41Z INFO [93/381] 14fa5cee-0894-4100-a907-dd87053b6c2f: Sackin index -0.0702; 1.4 s; peak memory 490 MiB.
2026-09-25T11:32:49Z INFO [94/381] 14fa6ab7-61de-47cd-9723-b97ba753ee08: Sackin index -0.0201; 8.3 s; peak memory 490 MiB.
2026-09-25T11:32:51Z INFO [95/381] 14fb16d5-533f-4e85-a8f7-02139eee440c: Sackin index -0.0369; 2.0 s; peak memory 490 MiB.
2026-09-25T11:33:04Z INFO [96/381] 14fb2415-c1c3-4fcd-b34f-5c9979075ca6: Sackin index -0.0242; 12.6 s; peak memory 490 MiB.
2026-09-25T11:33:10Z INFO [97/381] 14fbc745-1545-4011-8eee-84f91e5c8108: Sackin index -0.0403; 5.7 s; peak memory 490 MiB.
2026-09-25T11:33:11Z INFO [98/381] 14fc3306-e14e-4d88-a12c-5bb3093c6239: Sackin index -0.0728; 1.6 s; peak memory 490 MiB.
2026-09-25T11:33:13Z INFO [99/381] 14fc6a8f-9cd4-4160-9e67-d4020cff007e: Sackin index -0.0728; 1.8 s; peak memory 490 MiB.
2026-09-25T11:33:16Z INFO [100/381] 14fcae08-527f-46e8-b2f6-f388deb1a2a8: Sackin index -0.1938; 2.7 s; peak memory 490 MiB.
2026-09-25T11:33:16Z INFO [100/381] 14fcae08-527f-46e8-b2f6-f388deb1a2a8: checkpointed 57010 records.
2026-09-25T11:33:37Z INFO [101/381] 14fd99b4-801e-422f-a6b1-fc95057c80c4: Sackin index -0.0173; 21.4 s; peak memory 490 MiB.
2026-09-25T11:33:40Z INFO [102/381] 14fdcfde-a955-480c-b977-feb2e7b3c03a: Sackin index -0.1938; 2.6 s; peak memory 490 MiB.
2026-09-25T11:33:42Z INFO [103/381] 14fe20a2-98d7-49dd-8d20-17b807c0f2f7: Sackin index -0.0728; 1.7 s; peak memory 490 MiB.
2026-09-25T11:34:01Z INFO [104/381] 14fe53fc-a58b-4ab0-96d9-2634591d1b36: Sackin index -0.0028; 19.2 s; peak memory 490 MiB.
2026-09-25T11:34:02Z INFO [105/381] 14ff362b-ff40-4c21-990c-39a65595f760: Sackin index -0.1636; 1.0 s; peak memory 490 MiB.
2026-09-25T11:34:15Z INFO [106/381] 1500e74d-24d3-4fec-9b00-b5785db97cef: Sackin index -0.1495; 12.8 s; peak memory 490 MiB.
2026-09-25T11:34:17Z INFO [107/381] 15011706-e6e5-4328-a81a-cb5b7a7f9ccb: Sackin index -0.0398; 2.1 s; peak memory 490 MiB.
2026-09-25T11:34:18Z INFO [108/381] 15019388-0456-4246-801f-c443758b9211: Sackin index -0.1349; 1.3 s; peak memory 490 MiB.
2026-09-25T11:34:19Z INFO [109/381] 15019a71-c943-4bbf-bc07-d5626f8131dc: Sackin index -0.1658; 1.0 s; peak memory 490 MiB.
2026-09-25T11:34:21Z INFO [110/381] 1502dc4b-58fa-4142-ad0c-740e1d88a06a: Sackin index -0.0375; 1.7 s; peak memory 490 MiB.
2026-09-25T11:34:22Z INFO [111/381] 1502e024-af3f-4b56-8ff3-b476d026608d: Sackin index -0.0702; 1.5 s; peak memory 490 MiB.
2026-09-25T11:34:29Z INFO [112/381] 15032620-1941-4bb7-8c49-948be759f31a: Sackin index -0.0403; 6.5 s; peak memory 490 MiB.
2026-09-25T11:34:31Z INFO [113/381] 15050c9b-69fd-4628-aef0-9a104fc30fa2: Sackin index -0.1761; 2.5 s; peak memory 490 MiB.
2026-09-25T11:34:33Z INFO [114/381] 150641d2-9058-413d-8be9-d41ded3db003: Sackin index -0.0728; 2.0 s; peak memory 490 MiB.
2026-09-25T11:34:35Z INFO [115/381] 15086221-685d-41b6-a00e-6ba6e83bbda2: Sackin index -0.1575; 1.3 s; peak memory 490 MiB.
2026-09-25T11:34:36Z INFO [116/381] 15091a3c-9f02-41f5-917a-e5801e55fa40: Sackin index -0.2147; 1.0 s; peak memory 490 MiB.
2026-09-25T11:34:45Z INFO [117/381] 1509acde-171d-4048-852c-a86c7266ae28: Sackin index -0.0180; 9.4 s; peak memory 490 MiB.
2026-09-25T11:34:46Z INFO [118/381] 1509fe39-6a59-425f-948f-856429c5eb93: Sackin index -0.1349; 1.2 s; peak memory 490 MiB.
2026-09-25T11:34:52Z INFO [119/381] 150a17f6-c2a7-45a5-a5cd-fba432eaad83: Sackin index -0.0388; 5.9 s; peak memory 490 MiB.
2026-09-25T11:34:54Z INFO [120/381] 150a31c3-bb06-4f1d-b39a-13f16ba41b31: Sackin index -0.0728; 2.1 s; peak memory 490 MiB.
2026-09-25T11:34:56Z INFO [121/381] 150ab095-09fd-4a1d-a3da-f19c62210443: Sackin index -0.1349; 1.2 s; peak memory 490 MiB.
2026-09-25T11:36:58Z INFO [122/381] 150ac56e-9724-46bb-8348-6a45583cbf40: Sackin index -0.0450; 121.9 s; peak memory 490 MiB.
2026-09-25T11:37:00Z INFO [123/381] 150b2ebf-ee87-4f03-9b21-97cdd02a3c88: Sackin index -0.0728; 2.1 s; peak memory 490 MiB.
2026-09-25T11:40:04Z INFO [124/381] 150c0747-51d0-426a-aae2-6f147f37edf7: Sackin index -0.0701; 184.4 s; peak memory 1253 MiB.
2026-09-25T11:40:05Z INFO [125/381] 150c8713-4483-409d-bd4b-80b3e41ee3d1: Sackin index -0.1658; 1.1 s; peak memory 1253 MiB.
2026-09-25T11:40:07Z INFO [126/381] 150d60d4-7c29-4495-b13a-7062a7bd6bc6: Sackin index -0.1248; 1.5 s; peak memory 1253 MiB.
2026-09-25T11:40:18Z INFO [127/381] 150f0f2b-ceec-42f9-8875-38b53ba52228: Sackin index -0.0204; 11.5 s; peak memory 1253 MiB.
2026-09-25T11:40:19Z INFO [128/381] 150fa28e-ee9a-4580-b5c2-7a3ba3104383: Sackin index -0.1658; 1.3 s; peak memory 1253 MiB.
